algorithm,number,time
merge-sort,10,0.014708999999925254
merge-sort,100,0.18745899999998983
merge-sort,200,0.3708750000000691
merge-sort,500,0.9747499999999718
merge-sort,1000,2.120249999999942
bubble-sort,10,0.007832999999891399
bubble-sort,100,0.5532080000000406
bubble-sort,200,1.96612499999992
bubble-sort,500,0.3979580000000169
bubble-sort,1000,1.5193329999999605
quick-sort,10,0.01145900000005895
quick-sort,100,0.13445799999999508
quick-sort,200,0.2491250000000491
quick-sort,500,0.710582999999815
quick-sort,1000,1.5929579999999532
insertion-sort,10,0.007082999999965978
insertion-sort,100,0.4032919999999649
insertion-sort,200,1.7477499999999964
insertion-sort,500,0.8727499999999964
insertion-sort,1000,1.087916999999834

